runner,area,line,yards
"chris johnson","left","tackle","1"
"chris johnson","middle","center","7"
"chris johnson","middle","center","4"
"maurice jones-drew","left","tackle","-1"
"chris ivory","left","guard","71"
"darren mcfadden","left","tackle","3"
"chris johnson","right","guard","4"
"chris ivory","left","tackle","5"
"chris ivory","left","tackle","-2"
"maurice jones-drew","left","tackle","12"
"le'veon bell","right","tackle","1"
"le'veon bell","left","guard","11"
"le'veon bell","right","guard",0
"ben tate","right","tackle","2"
"ben tate","right","tackle","7"
"ray agnew","middle","center","2"
"dri archer","right","tackle","4"
"le'veon bell","right","tackle",0
"le'veon bell","right","tackle","-2"
"le'veon bell","right","guard","2"
"legarrette blount","right","guard","7"
"ben tate","left","tackle","-1"
"travis benjamin","left","tackle","10"
"terrance west","right","guard","3"
"le'veon bell","left","tackle","7"
"le'veon bell","middle","center","5"
"le'veon bell","middle","center","4"
"ben tate","right","tackle","5"
"le'veon bell","left","guard","38"
"ben tate","right","tackle","3"
"ben tate","left","tackle","25"
"terrance west","left","tackle","1"
"terrance west","right","tackle","5"
"legarrette blount","middle","center","3"
"legarrette blount","left","guard",0
"le'veon bell","right","tackle","3"
"ben roethlisberger","right","tackle","7"
"terrance west","right","tackle","22"
"terrance west","middle","center","2"
"isaiah crowell","right","guard","3"
"le'veon bell","right","guard","1"
"le'veon bell","left","guard","2"
"ben roethlisberger","left","guard","1"
"terrance west","right","tackle","7"
"terrance west","left","guard",0
"isaiah crowell","right","guard","2"
"isaiah crowell","right","tackle","15"
"le'veon bell","middle","center","6"
"le'veon bell","left","guard","4"
"terrance west","right","tackle","1"
"terrance west","right","guard","-2"
"terrance west","right","guard","4"
"terrance west","right","guard","10"
"terrance west","right","tackle","1"
"taylor gabriel","left","tackle","8"
"brian hoyer","left","guard","-2"
"terrance west","right","tackle","8"
"isaiah crowell","right","tackle","16"
"isaiah crowell","right","guard","-4"
"le'veon bell","middle","center","8"
"le'veon bell","left","tackle","2"
"le'veon bell","middle","center","4"
"le'veon bell","right","guard","1"
"terrance west","right","tackle",0
"terrance west","middle","center","9"
"terrance west","right","guard","29"
"le'veon bell","right","guard","11"
"le'veon bell","middle","center","1"
"legarrette blount","middle","center","-4"
"andre ellington","middle","center",0
"ryan mathews","right","tackle",0
"donald brown","middle","center","2"
"andre ellington","middle","center","5"
"andre ellington","right","tackle",0
"ryan mathews","middle","center","4"
"ryan mathews","right","tackle","-4"
"jonathan dwyer","middle","center","4"
"michael floyd","left","tackle","2"
"danny woodhead","middle","center","5"
"danny woodhead","right","tackle","1"
"andre ellington","middle","center","1"
"andre ellington","middle","center","13"
"jonathan dwyer","middle","center","2"
"ryan mathews","middle","center","1"
"ryan mathews","middle","center","1"
"donald brown","middle","center","-4"
"carson palmer","left","tackle","11"
"eddie royal","right","tackle","2"
"ryan mathews","middle","center","2"
"jonathan dwyer","right","tackle","1"
"ryan mathews","middle","center","8"
"philip rivers","left","tackle","10"
"ryan mathews","right","tackle","-1"
"danny woodhead","right","tackle","-1"
"andre ellington","right","tackle",0
"andre ellington","middle","center","4"
"andre ellington","middle","center",0
"andre ellington","right","tackle","1"
"ryan mathews","middle","center",0
"ryan mathews","left","tackle","20"
"andre ellington","right","tackle","5"
"danny woodhead","left","tackle","-2"
"andre ellington","middle","center","7"
"andre ellington","right","tackle","-1"
"stepfan taylor","middle","center","5"
"ryan mathews","left","tackle","11"
"ryan mathews","middle","center","-2"
"eddie royal","left","tackle","-3"
"danny woodhead","middle","center","1"
"danny woodhead","middle","center","1"
"andre ellington","middle","center","18"
"jonathan dwyer","middle","center","1"
"jonathan dwyer","middle","center","2"
"jonathan dwyer","right","tackle","3"
"jonathan dwyer","middle","center","7"
"joique bell","left","tackle",0
"rashad jennings","left","tackle","-2"
"rashad jennings","right","tackle","1"
"reggie bush","right","tackle","-3"
"joique bell","right","tackle","1"
"joique bell","right","tackle","10"
"joique bell","right","tackle","-3"
"rashad jennings","left","tackle","1"
"rashad jennings","middle","center","2"
"rashad jennings","right","tackle","4"
"rashad jennings","left","tackle","14"
"rashad jennings","middle","center","4"
"rashad jennings","left","tackle",0
"reggie bush","middle","center","1"
"reggie bush","right","tackle","2"
"andre williams","middle","center","3"
"joique bell","right","tackle","-2"
"reggie bush","right","tackle","2"
"golden tate","right","tackle","4"
"joique bell","right","tackle",0
"reggie bush","right","tackle","4"
"rashad jennings","left","tackle","4"
"jerrel jernigan","left","tackle","-2"
"joique bell","right","tackle","3"
"rashad jennings","middle","center",0
"rashad jennings","right","tackle","3"
"reggie bush","left","tackle","-3"
"joique bell","right","tackle","8"
"reggie bush","left","tackle","6"
"matthew stafford","right","tackle","5"
"andre williams","left","tackle","1"
"rashad jennings","middle","center","4"
"rashad jennings","middle","center","3"
"andre williams","left","tackle","5"
"rashad jennings","middle","center","6"
"rashad jennings","middle","center","1"
"rashad jennings","left","tackle","1"
"joique bell","left","tackle","3"
"joique bell","left","tackle","1"
"reggie bush","right","tackle","4"
"joique bell","left","tackle","8"
"joique bell","right","tackle","12"
"theo riddick","right","tackle","4"
"reggie bush","right","tackle","2"
"joique bell","right","tackle","3"
"andre williams","left","tackle",0
"andre williams","middle","center",0
"joique bell","right","tackle",0
"joique bell","right","tackle","7"
"le'veon bell","left","guard","1"
"le'veon bell","right","tackle","5"
"antonio brown","left","tackle","9"
"le'veon bell","right","tackle","2"
"legarrette blount","middle","center","1"
"legarrette blount","right","guard","1"
"bernard pierce","right","tackle","1"
"bernard pierce","right","guard","6"
"bernard pierce","right","guard","2"
"bernard pierce","right","guard",0
"joe flacco","middle","center","3"
"bernard pierce","right","tackle","4"
"bernard pierce","left","guard","2"
"justin forsett","right","guard","1"
"legarrette blount","right","guard","6"
"bernard pierce","right","guard","8"
"justin forsett","right","tackle","13"
"justin forsett","right","tackle","2"
"joe flacco","right","guard","2"
"bernard pierce","left","guard",0
"le'veon bell","right","guard","1"
"le'veon bell","right","guard","2"
"le'veon bell","left","guard","21"
"antonio brown","right","tackle","1"
"justin forsett","left","tackle","-2"
"le'veon bell","right","guard","1"
"justin forsett","middle","center",0
"le'veon bell","right","tackle","16"
"le'veon bell","right","guard","5"
"bernard pierce","right","tackle","10"
"bernard pierce","right","guard","3"
"bernard pierce","left","tackle","3"
"bernard pierce","right","guard","1"
"bernard pierce","right","tackle","2"
"bernard pierce","right","tackle",0
"le'veon bell","right","guard","2"
"justin forsett","left","guard","1"
"bernard pierce","right","tackle","5"
"bernard pierce","left","tackle","10"
"bernard pierce","left","guard","2"
"bernard pierce","left","guard","-1"
"le'veon bell","left","guard","3"
"bernard pierce","right","tackle","14"
"bernard pierce","right","tackle","4"
"justin forsett","right","tackle","41"
"justin forsett","right","guard",0
"joe flacco","middle","center",0
"jacoby jones","left","tackle","2"
"bernard pierce","right","tackle","3"
"bernard pierce","right","tackle","17"
